id,name,ppOld,ppNew,ppDiff,minuteUpdated
8579186,Greninja,3266.68,3217.55,354,28167909
4299311,HeeeeeeeNryY123,3176.72,3217.30,394,28167909
15031425,[kmlehn],3256.91,3217.03,520,28167909
2471458,Niji,3276.15,3216.98,366,28167908
6299319,kakunegizat,3223.38,3216.82,285,28167909
4648329,Kolo71,3284.3,3216.70,575,28167908
8172169,hidegami,3241.47,3216.58,34,28167909
12958376,akanoriron,3190.44,3216.56,647,28167909
14154081,CielTempest,3249.42,3215.93,166,28167909
13794811,MilkWatcher,3294.75,3215.23,-46,28167908
12191259,lagdasher,3290.14,3215.07,379,28167908
8540278,Artyssala,3381.91,3214.69,261,28167907
12156170,RAM3NN,3366.29,3214.28,292,28167908
8129400,trashyconfetti,3211.36,3213.73,517,28167909
20295114,_vix,3199.53,3213.14,429,28167909
11497928,zunsu__Q__,3261.97,3211.23,378,28167909
10238376,Zoetjahh,3085.71,3210.97,1016,28167911
11406613,kaybee,3360.77,3210.94,372,28167908
2152199,Coco Kaine,3236.25,3210.85,814,28167909
7259696,Sonjya0303,3183.28,3210.72,653,28167909
12498849,nirawo,3223.85,3210.70,295,28167909
6583035,sooew,3326.83,3210.21,385,28167908
9651029,NielNix,3348.9,3210.17,453,28167908
20870627,user000000039,3239.14,3210.16,383,28167909
22893730,hLiaaa,3266.9,3210.14,350,28167909
2091514,firdaus23,3175.73,3210.02,793,28167910
4975151,fumiko_239,3224.62,3209.82,127,28167909
3130573,- Noah S -,3295.91,3209.52,346,28167908
14370435,ux_,3278.74,3209.35,376,28167908
674138,GoodFace,3167.12,3209.35,1043,28167910
2345356,Knowledge123,3210.56,3208.90,790,28167909
9244802,woa,3197.01,3208.85,387,28167909
31196690,icebeee,3147.57,3208.80,354,28167910
10950422,Justuks,3314.09,3207.65,370,28167908
4775600,azer467,3233.71,3207.49,512,28167909
843155,RAMONLINKK,3210.99,3207.31,821,28167909
19590498,Aapreson,3238.75,3207.27,525,28167909
5375744,Neymar_NJR,3100.56,3207.21,642,28167910
8736031,takashi809,3086.08,3207.08,1057,28167911
6471351,satodashi,3143.72,3206.85,361,28167910
7463048,mmikkoo,3240.81,3206.75,370,28167909
4787843,Koltay,3301.07,3206.65,-136,28167908
15494713,kamekini,3296.01,3206.65,327,28167908
8382518,Yusane,3235.78,3206.57,631,28167909
14907419,Waaaaaaaaaaarm,3224.21,3206.51,635,28167909
8612647,Hrmk0609,3246.55,3205.81,-20,28167909
2878798,JellyBn,3265.68,3205.21,232,28167909
1192936,MapleSyrup-,3170.65,3204.91,349,28167910
12087080,ODbanana,3153.8,3204.84,617,28167910
623773,metyabo,3185.2,3204.80,546,28167909
8267620,Yolight377,3337.08,3204.46,40,28167908
9528664,Terrantez,3249.82,3204.40,376,28167909
20706618,ryonn2306,3219.67,3204.18,270,28167909
2150922,donman445,3343.97,3203.93,553,28167908
11957119,Kurojii,3282.91,3203.74,338,28167908
32128764,kabo333,3237.76,3203.74,-1,28167909
3058191,kyaratto,3200.14,3203.56,293,28167909
15025367,GameEstLa,3256.75,3203.39,694,28167909
31031748,hotatemaru,3164.38,3203.12,547,28167910
12165328,yadno,3292.81,3203.01,233,28167908
4759374,Akimo Akira OwO,3243.69,3202.92,410,28167909
18704854,mrlongmien,3232.75,3202.74,217,28167909
6916940,suspiciousrobot,3178.63,3202.69,618,28167909
9834448,Black_Cat9,3225.07,3202.29,457,28167909
3147457,Leetrapoi,3156.9,3202.24,290,28167910
10395684,Zezka10,3355.43,3202.18,-79,28167908
6456182,TheEpicYoshi,3134.26,3201.97,556,28167910
10688382,astrr,3437.07,3201.88,88,28167907
4559722,misodare,3345.3,3201.21,290,28167908
1178946,FlippyTheYoshi,3212.85,3201.14,756,28167909
9124278,Axorite,3152.56,3201.11,525,28167910
602959,AlphaAlfalfa,3139.59,3200.76,774,28167910
9760098,Camine_Gamer,3225.28,3200.66,79,28167909
14993237,konah_Uwu,3289.78,3200.64,733,28167908
20134039,Danii_08,3147.78,3200.23,403,28167910
11047654,echoforce4,3173.93,3199.62,387,28167910
19876239,Chateauvision,3304.87,3199.54,281,28167908
14478989,iLoveFrutas,3271.84,3199.51,416,28167908
