id,name,ppOld,ppNew,ppDiff,minuteUpdated
23104123,CattysL,7557.59,7332.99,269,28167559
27279665,Renn-,7622.7,7332.85,10,28167559
24449678,Rand0mwastaken,7605.76,7332.84,145,28167559
32594622,Loi_,7721.54,7331.86,-355,28167558
24630924,see123see123hac,7638.16,7331.42,112,28167559
17647453,Unevexine,7647.91,7331.19,-76,28167559
25192757,Gameryt1234,7717.41,7330.65,-256,28167558
13989546,Kawiri,7820.33,7330.58,-491,28167557
13857986,Klarion,7711.71,7329.96,-124,28167558
21860965,dedexx,7685.65,7329.50,69,28167558
24547179,piss cat,7635.92,7328.59,-254,28167559
9754834,dohggy,7630.74,7328.26,108,28167559
17244275,002Kawaii,7628.62,7328.02,-60,28167559
19782044,ericss,7545.84,7327.87,-51,28167559
11902364,WorldSound,7581.82,7327.70,136,28167559
13101298,Disa_disa,7683.41,7327.26,-8,28167558
10053987,Slowless,7731.53,7327.07,461,28167558
19237161,GlitchyZ,7741.9,7326.77,2,28167558
30109054,TheEmpress69,7432.5,7326.71,502,28167560
28686755,osuaimbot1,7464.79,7326.34,500,28167560
24736554,MinhCheems,7619.68,7326.02,-90,28167559
2601086,walao,7676.72,7325.83,162,28167558
23504323,mcky882,7531.42,7324.94,393,28167560
4592615,Ing,7625.88,7324.56,676,28167559
9423766,Logan636,7809.08,7324.51,208,28167558
8535939,OvEr_RaTE,7574.53,7323.57,593,28167559
16685467,H1h1xndhi,7622.27,7323.06,-11,28167559
20072911,JaceyPlayz,7627.96,7322.20,-125,28167559
11706749,Topcayk,7596.69,7321.51,455,28167559
28018558,Terminzol,7559.1,7321.16,-8,28167559
28150821,smajily,7570.27,7320.83,139,28167559
12929973,Itawachi,7808.73,7320.13,-261,28167558
29252248,nezuminezumi,7604.66,7320.07,52,28167559
17657774,junsu623,7684.1,7319.68,-44,28167558
19477584,FanGao,7742.32,7319.21,-319,28167558
9120753,Jumphand,7543.21,7319.13,597,28167559
33151416,STFisaac,7594.29,7318.42,-94,28167559
11500585,Yeesayangban,7698.3,7318.40,87,28167558
28058184,eXCesc,7631.18,7317.41,199,28167559
12014683,Dizzayy,7739.85,7317.20,89,28167558
11160541,Mince,7755.5,7316.29,-100,28167558
16335180,10101_exe,7697.44,7316.06,-42,28167558
12915445,liangzai-ZZL,7620.24,7315.79,413,28167559
25529810,-Kozai,7582.8,7315.54,-107,28167559
12139705,-ChoripanUwU-,7851.61,7314.62,-370,28167557
